Year,No.,Round,Pick,OverallPick,Player,Team,College
2023,1,1,20,20,Jaxon Smith-Njigba,Seahawks,Ohio State
2023,2,1,21,21,Quentin Johnston,Chargers,Texas Christian
2023,3,1,22,22,Zay Flowers,Ravens,Boston College
2023,4,1,23,23,Jordan Addison,Vikings,USC
2023,5,2,8,39,Jonathan Mingo,Panthers,Mississippi
2023,6,2,19,50,Jayden Reed,Packers,Michigan State
2023,7,2,24,55,Rashee Rice,Chiefs,Southern Methodist
2023,8,2,32,63,Marvin Mims,Broncos,Oklahoma
2023,9,3,6,69,Nathaniel Dell,Texans,Houston
2023,10,3,10,73,Jalin Hyatt,Giants,Tennessee
2023,11,3,11,74,Cedric Tillman,Browns,Tennessee
2023,12,3,16,79,Josh Downs,Colts,North Carolina
2023,13,3,31,94,Michael Wilson,Cardinals,Stanford
2023,14,3,37,100,Tre Tucker,Raiders,Cincinnati
2023,15,4,23,125,Derius Davis,Chargers,Texas Christian
2023,16,4,29,131,Charlie Jones,Bengals,Purdue
2023,17,4,31,133,Tyler Scott,Bears,Cincinnati
2023,18,5,15,150,Justin Shorter,Bills,Florida
2023,19,5,24,159,Dontayvion Wicks,Packers,Virginia
2023,20,5,42,177,Puka Nacua,Rams,Brigham Young
2023,21,6,8,185,Parker Washington,Jaguars,Penn State
2023,22,6,10,187,Kayshon Boutte,Patriots,Louisiana State
2023,23,6,14,191,Trey Palmer,Buccaneers,Nebraska
2023,24,6,18,195,A.T. Perry,Saints,Wake Forest
2023,25,6,28,205,Xavier Hutchinson,Texans,Iowa State
2023,26,6,29,206,Andrei Iosivas,Bengals,Princeton
2023,27,6,33,210,Demario Douglas,Patriots,Liberty
2023,28,7,2,219,Antoine Green,Lions,North Carolina
2023,29,7,11,228,Cotton Dowell,Titans,Tennessee-Martin
2023,30,7,27,244,Jalen Brooks,Cowboys,South Carolina
2023,31,7,36,253,Ronnie Bell,49ers,Michigan
2023,32,7,39,256,Grant DuBose,Packers,Charlotte
2022,1,1,8,8,Drake London,Falcons,USC
2022,2,1,10,10,Garrett Wilson,Jets,Ohio State
2022,3,1,11,11,Chris Olave,Saints,Ohio State
2022,4,1,12,12,Jameson Williams,Lions,Alabama
2022,5,1,16,16,Jahan Dotson,Commanders,Penn State
2022,6,1,18,18,Treylon Burks,Titans,Arkansas
2022,7,2,2,34,Christian Watson,Packers,North Dakota State
2022,8,2,11,43,Wan'Dale Robinson,Giants,Kentucky
2022,9,2,12,44,John Metchie,Texans,Alabama
2022,10,2,18,50,Tyquan Thornton,Patriots,Baylor
2022,11,2,20,52,George Pickens,Steelers,Georgia
2022,12,2,21,53,Alec Pierce,Colts,Cincinnati
2022,13,2,22,54,Skyy Moore,Chiefs,Western Michigan
2022,14,3,7,71,Velus Jones,Bears,Tennessee
2022,15,3,24,88,Jalen Tolbert,Cowboys,South Alabama
2022,16,3,35,99,David Bell,Browns,Purdue
2022,17,3,41,105,Danny Gray,49ers,Southern Methodist
2022,18,4,20,125,Erik Ezukanma,Dolphins,Texas Tech
2022,19,4,27,132,Romeo Doubs,Packers,Nevada
2022,20,4,33,138,Calvin Austin,Steelers,Memphis
2022,21,5,5,148,Khalil Shakir,Bills,Boise State
2022,22,5,19,162,Montrell Washington,Broncos,Samford
2022,23,5,20,163,Kyle Philips,Titans,UCLA
2022,24,6,12,191,Jalen Nailor,Vikings,Michigan State
2022,25,6,23,202,Michael Woods,Browns,Oklahoma
2022,26,7,8,229,Bo Melton,Seahawks,Rutgers
2022,27,7,12,233,Dareke Young,Seahawks,Lenoir-Rhyne
2022,28,7,37,258,Samori Toure,Packers,Nebraska
2021,1,1,5,5,Ja'Marr Chase,Bengals,Louisiana State
2021,2,1,6,6,Jaylen Waddle,Dolphins,Alabama
2021,3,1,10,10,DeVonta Smith,Eagles,Alabama
2021,4,1,20,20,Kadarius Toney,Giants,Florida
2021,5,1,27,27,Rashod Bateman,Ravens,Minnesota
2021,6,2,2,34,Elijah Moore,Jets,Mississippi
2021,7,2,17,49,Rondale Moore,Cardinals,Purdue
2021,8,2,24,56,D'Wayne Eskridge,Seahawks,Western Michigan
2021,9,2,25,57,Tutu Atwell,Rams,Louisville
2021,10,2,27,59,Terrace Marshall,Panthers,Louisiana State
2021,11,3,13,77,Josh Palmer,Chargers,Tennessee
2021,12,3,18,82,Dyami Brown,Team,North Carolina
2021,13,3,21,85,Amari Rodgers,Packers,Clemson
2021,14,3,25,89,Nico Collins,Texans,Michigan
